File Name	Name	Component Items	Component Bundles	Item Description	HP Bonus	Damage Bonus	Shield Bonus	Strikes Bonus	Burn Bonus	Cant Strike	Item Type	Categories	Keywords	Rules
armored_crawler	Armored Crawler	Armored Beetle, Dark Crawler	Greed	Battle Start: If your hitpoints are full, gain 2 armor and deal 2 damage; repeat 2 times.	0	0	0	0	0	false	Bug	Clearmetal, Dark, Bug	Battle Start	Battle Start: If your hitpoints is your base hitpoints; Gain 2 shield | Battle Start: Deal 2 damage to your Enemy.
armored_firefly	Armored Firefly	Firefly, Armored Beetle	Duty, Greed	Exposed: Give the enemy 2 burn and gain 3 shield for each burn the enemy has.	0	0	0	0	0	false	Bug	Bug, Clearmetal	Burn, Exposed	Exposed: Apply 2 burn to your Enemy | Exposed: Gain  shield equal to your Enemy's burn stacks
armored_termite	Armored Termite	Scuttlemite, Armored Beetle	Revenge, Greed	Battle Start: If your hitpoints are full, gain 5 shield and 5 max hitpoints.	6	0	6	0	0	false	Bug	Clearmetal, Bug	Battle Start	Battle Start: If your hitpoints is your base hitpoints; Gain 5 shield | Battle Start: Gain 5 Max hitpoints
blood_Scorpion	Blood Scorpion	Bloodmoth, Pit Scorpion	Honor, General	Wounded: Restore 30 hitpoints.	0	0	0	0	0	false	Bug	Vampiric, Unique, Bug	Wounded	Wounded: Gain 30 hitpoints
bloody_spikewing	Bloody Spikewing	Bloodmoth, Thorn Bug	Honor, Revenge	Wounded: Restore 5 hitpoints and gain 5 thorns.	0	0	0	0	0	false	Bug	Bug	Thorns, Wounded	Wounded: Heal yourself for 5 hitpoints. | Wounded: Apply 5 thorns to yourself
boiling_illipillar	Boiling Illipillar	Illipede, Firefly	Shame, Duty	Battle Start: Gain 3 poison and give the enemy burn equal to your poison.	0	2	0	0	0	false	Bug	Bug	Poison, Burn, Battle Start	Battle Start: Apply 3 poison to yourself | Battle Start: Apply burn to your Enemy  equal to your poison stacks
burning_scorpion	Burning Scorpion	Firefly, Pit Scorpion	Duty, General	Exposed: Give the enemy 10 burn.	0	0	0	0	0	false	Bug	Bug	Burn, Exposed	Exposed: Apply 10 burn to your Enemy
centipede_bow	Centipede Bow	Illipede, Sharp Stick Bug	Shame, Chaos	Battle Start: Gain 3 poison. Turn Start: If you have poison, gain 1 additional strike.	0	4	0	0	0	false	Weapon		Poison, Strikes, Battle Start	Battle Start: Apply 3 poison to yourself | Turn Start: If you have more than 0  poison; Gain 1 strikes
cheerful_deathwing	Cheerful Deathwing	Bloodmoth, Jaunty Pillbug	Honor, General	Exposed and Wounded: Heal for 3 hitpoints.	0	0	2	0	0	false	Bug	Bug	Exposed, Wounded	Exposed: Heal yourself for 3 hitpoints. | Wounded: Heal yourself for 3 hitpoints.
chelicerae	Chelicarea	Sharp Stick Bug, Dark Crawler	Chaos, Greed	Battle Start and Exposed: Deal 4 damage to the enemy.	0	3	0	0	0	false	Weapon	Dark	Battle Start, Exposed	Battle Start: Deal 4 damage to your Enemy. | Exposed: Deal 4 damage to your Enemy.
