File Name	Name	Bundle	Item Description	HP Bonus	Shield Bonus	Damage Bonus	Agility Bonus	Strikes Bonus	Burn Bonus	Cant Strike	Rarity	Item Type	Categories	Keywords	Rules
bloodmoth	Bloodmoth	Honor	Wounded: Heal 4 hitpoints.	0	0	0	0	0	0	false	Common	Bug	Vampiric, Bug	Wounded	Wounded: Heal yourself for 4 hitpoints.
corpsehopper	Corpsehopper	Shame	Battle Start: Gain 1 acid.	0	0	0	3	0	0	false	Common	Bug	Bug	Acid, Battle Start	Battle Start: Apply 1 acid to yourself
dark_crawler	Dark Crawler	Chaos	Battle Start: Deal 1 damage to the enemy. Repeat 2 more times.	0	0	0	0	0	0	false	Common	Bug	Dark, Bug	Battle Start	Battle Start: Deal 1 damage to your Enemy.
dew_fly	Dew Fly	Shame	Battle Start, Exposed, & Wounded: Decrease a random status effect of yours by 1.	0	0	0	0	0	0	false	Common	Bug	Shimmering, Bug	Battle Start, Exposed, Wounded	Battle Start: Remove 1 random status effect from yourself | Exposed: Remove 1 random status effect from yourself | Wounded: Remove 1 random status effect from yourself
firefly	Firefly	Duty	Exposed: Give the enemy 1 burn.	0	0	0	0	0	0	false	Common	Bug	Bug	Burn, Exposed	Exposed: Apply 1 burn to your Enemy
scuttlemite	Scuttlemite	Revenge		5	0	0	0	0	0	false	Common	Bug	Wood, Bug		
thorn_bug	Thorn Bug	Revenge	Battle Start: Gain 3 thorns.	0	0	0	0	0	0	false	Common	Bug	Bug	Thorns, Battle Start	Battle Start: Apply 3 thorns to yourself
acrid_potion	Fury Potion	Duty	Exposed: Give the enemy 3 poison.	0	0	0	0	0	0	false	Common	Potion	Potion	Poison, Exposed	Exposed: Apply 3 poison to your Enemy
essence_of_charcoal	Essence Of Charcoal	Duty	Battle Start: Increase your burn damage by 1.	0	0	0	0	0	0	false	Common	Potion	Potion	Burn, Battle Start	Battle Start: Gain 1 burn damage
limbering_potion	Limbering Potion	Chaos	Battle Start: Heal 1 hitpoint for each agility you have.	0	0	0	1	0	0	false	Common	Potion	Potion	Battle Start	Battle Start: Heal yourself for an amount  equal to your current agility.
reprieval_potion	Last Effort Potion	Duty	Wounded: Gain 10 shield and stun yourself for 2. 	0	0	0	0	0	0	false	Common	Potion	Clearmetal, Potion	Stun, Wounded	Wounded: Gain 10 shield | Wounded: Apply 2 stun to yourself
vicious_potion	Vicious Potion	Duty	Every 3 hits: Increase your attack damage by 1.	0	0	0	0	0	0	false	Common	Potion	Potion		On Hit: Gain 1 attack
bronze_barbed_helm	Bronze Barbed Helm	Revenge	Battle Start: Gain 1 thorns.	0	2	0	0	0	0	false	Common	Helmet		Thorns, Battle Start	Battle Start: Apply 1 thorns to yourself
collectors_armor	Collector's Armor	Duty	Upgrading triples shield value instead of doubling it.	0	3	0	0	0	0	false	Common	Body Armor	Collector		
corroded_armor	Corroded Armor	Shame	Battle Start: Gain 1 acid.	0	5	0	0	0	0	false	Common	Body Armor		Acid, Battle Start	Battle Start: Apply 1 acid to yourself
corroded_ring	Corroded Ring	Chaos	Battle Start: Give the enemy 1 acid.	0	0	0	0	0	0	false	Common	Jewelry	Ring	Acid, Battle Start	Battle Start: Apply 1 acid to your Enemy
covert_shield	Covert Shield	Chaos	Battle Start: If your base shield is 0, gain 4 shield.	0	0	0	0	0	0	false	Common	Shield		Battle Start	Battle Start: If your shield is 0 ; Gain 4 shield
crown_of_caution	Crown of Caution	Greed		-2	5	0	0	0	0	false	Common	Jewelry			
crown_of_rage	Crown of Rage	Greed		0	0	1	-1	0	0	false	Common	Jewelry			
dangly_necklace	Dangly Necklace	Greed		8	0	-1	0	0	0	false	Common	Jewelry			
double_plated_armor	Heavy Plated Armor	Revenge	Exposed: Gain 3 shield.	0	2	0	-2	0	0	false	Common	Body Armor		Exposed	Exposed: Gain 3 shield
fine_edge	Edge Refiner	Honor	First Turn Only: Temporarily gain 2 attack damage.	0	0	0	0	0	0	false	Common	Tool	Clearmetal		Turn Start: Gain 2 attack | Turn End: Lose -2 attack
helmet_of_the_old_gods	Helmet of the Old Gods	Shame	Battle Start: Gain 1 blessing.	0	2	0	0	0	0	false	Common	Helmet		Blessing, Battle Start	Battle Start: Apply 1 blessing to yourself
holy_shield	Heavy Shield	Shame		0	6	-1	-1	0	0	false	Common	Shield			
lantern	Latern	Duty	Battle Start & Exposed: Give the enemy 1 burn.	0	0	0	0	0	0	false	Common	Tool		Burn, Battle Start, Exposed	Battle Start: Apply 1 burn to your Enemy | Exposed: Apply 1 burn to your Enemy
liferoot_gauntlets	Hearty Gauntlets	Revenge	Battle Start: Gain 1 regeneration.	3	0	0	0	0	0	false	Common	Gloves	Wood	Regeneration, Battle Start	Battle Start: Apply 1 regeneration to yourself
living_wood_cloak	Living Wood Cloak	Revenge	Battle Start: If your hitpoints are not full, heal for 2 hitpoints.	2	0	0	0	0	0	false	Common	Body Armor	Wood	Battle Start	Battle Start: If your hitpoints is less than your base hitpoints; Heal yourself for 2 hitpoints.
living_wood_helmet	Living Wood Helmet	Revenge	Exposed: Heal for 3 hitpoints.	1	1	0	0	0	0	false	Common	Helmet	Wood	Exposed	Exposed: Heal yourself for 3 hitpoints.
loot_finder	Loot Finder	Greed	If you have under 10 gold, gain 1 gold on Turn Start.	0	0	0	0	0	0	false	Common	Tool			Turn Start: If your gold is less than 10 ; Gain 1 gold
nimble_hood	Nimble Hood	Honor	Battle Start: Take 3 damage and gain 1 additional strike on your first turn.	0	0	0	0	0	0	false	Common	Helmet		Strikes, Battle Start	Battle Start: Deal 3 damage to yourself. | Battle Start: Gain 1 strikes
poison_sheath	Poison Sheath	Duty	On Hit: Give the enemy 2 poison. (First turn only)	0	0	0	0	0	0	false	Common	Tool		Poison	On Hit: Apply 2 poison to your Enemy
purple_skin_gloves	Purpleskin Gloves	Honor		3	0	0	1	0	0	false	Common	Gloves			
purple_skin_vest	Purpleskin Vest	Honor		0	2	0	1	0	0	false	Common	Body Armor			
purpleskin_belt	Purpleskin Belt	Chaos	If you have 0 base shield, double this item's max hitpoints.	3	0	0	0	0	0	false	Common	Belt			Persistent: If your shield is =; Gain 3 Max hitpoints
radiant_shield	Radiant Shield	Greed	Battle Start: Gain 2 blind.	0	8	0	0	0	0	false	Common	Shield	Shimmering	Blind, Battle Start	Battle Start: Apply 2 blind to yourself
